id,gid,x,y,v_x,v_y,radius,time
0,0,3.744297,0.087382,-1.479966,0.054675,0.500000,3.100000
1,1,3.225705,3.267957,-0.766993,-0.871276,0.500000,3.100000
2,2,-0.033081,3.894936,-0.067651,-0.623979,0.500000,3.100000
3,3,-2.580736,2.628624,0.849172,-1.097523,0.500000,3.100000
4,4,-5.024233,-0.237622,1.177088,-0.039141,0.500000,3.100000
5,5,-2.861302,-2.794341,1.076026,1.675102,0.500000,3.100000
6,6,0.151194,-3.513894,-0.296683,1.075093,0.500000,3.100000
7,7,3.273447,-3.462023,-0.769581,0.776761,0.500000,3.100000
0,0,3.593594,0.119718,-1.507029,0.323364,0.500000,3.200000
1,1,3.177063,3.162884,-0.486421,-1.050732,0.500000,3.200000
2,2,-0.059721,3.820254,-0.266401,-0.746825,0.500000,3.200000
3,3,-2.504592,2.511858,0.761440,-1.167658,0.500000,3.200000
4,4,-4.902093,-0.236294,1.221393,0.013277,0.500000,3.200000
5,5,-2.760847,-2.642553,1.004547,1.517880,0.500000,3.200000
6,6,0.148393,-3.393228,-0.028014,1.206652,0.500000,3.200000
7,7,3.191469,-3.400943,-0.819778,0.610797,0.500000,3.200000
0,0,3.451814,0.157635,-1.417795,0.379164,0.500000,3.300000
1,1,3.127529,3.054540,-0.495339,-1.083438,0.500000,3.300000
2,2,-0.048577,3.730182,0.111434,-0.900720,0.500000,3.300000
3,3,-2.396559,2.396426,1.080333,-1.154321,0.500000,3.300000
4,4,-4.781791,-0.224724,1.203020,0.115696,0.500000,3.300000
5,5,-2.669342,-2.509540,0.915050,1.330122,0.500000,3.300000
6,6,0.160039,-3.268418,0.116462,1.248105,0.500000,3.300000
7,7,3.121342,-3.321081,-0.701265,0.798621,0.500000,3.300000
0,0,3.294637,0.189119,-1.571774,0.314842,0.500000,3.400000
1,1,3.086063,2.949328,-0.414664,-1.052125,0.500000,3.400000
2,2,-0.010953,3.638506,0.376245,-0.916758,0.500000,3.400000
3,3,-2.248082,2.267038,1.484761,-1.293879,0.500000,3.400000
4,4,-4.664542,-0.238535,1.172498,-0.138110,0.500000,3.400000
5,5,-2.587005,-2.427676,0.823371,0.818647,0.500000,3.400000
6,6,0.158336,-3.150100,-0.017035,1.183183,0.500000,3.400000
7,7,3.035359,-3.236294,-0.859830,0.847867,0.500000,3.400000
0,0,3.143007,0.220022,-1.516296,0.309032,0.500000,3.500000
1,1,3.056833,2.834390,-0.292298,-1.149384,0.500000,3.500000
2,2,0.029510,3.549440,0.404634,-0.890656,0.500000,3.500000
3,3,-2.129320,2.118274,1.187627,-1.487641,0.500000,3.500000
4,4,-4.589759,-0.255996,0.747831,-0.174601,0.500000,3.500000
5,5,-2.523150,-2.281758,0.638553,1.459177,0.500000,3.500000
6,6,0.176523,-3.006910,0.181870,1.431895,0.500000,3.500000
7,7,2.953248,-3.151572,-0.821111,0.847224,0.500000,3.500000
0,0,2.966980,0.256049,-1.760277,0.360267,0.500000,3.600000
1,1,2.977964,2.707158,-0.788691,-1.272316,0.500000,3.600000
2,2,0.070145,3.453612,0.406344,-0.958277,0.500000,3.600000
3,3,-1.961219,2.015317,1.681005,-1.029568,0.500000,3.600000
4,4,-4.483237,-0.260332,1.065211,-0.043362,0.500000,3.600000
5,5,-2.462310,-2.168893,0.608402,1.128648,0.500000,3.600000
6,6,0.222921,-2.875796,0.463981,1.311145,0.500000,3.600000
7,7,2.865720,-3.044995,-0.875282,1.065764,0.500000,3.600000
0,0,2.814000,0.278981,-1.529791,0.229327,0.500000,3.700000
1,1,2.957411,2.656274,-0.205527,-0.508844,0.500000,3.700000
2,2,0.107040,3.367291,0.368949,-0.863216,0.500000,3.700000
3,3,-1.864029,1.923053,0.971904,-0.922642,0.500000,3.700000
4,4,-4.366360,-0.265331,1.168774,-0.049991,0.500000,3.700000
5,5,-2.358718,-2.095199,1.035913,0.736942,0.500000,3.700000
6,6,0.303759,-2.694278,0.808381,1.815171,0.500000,3.700000
7,7,2.790246,-2.958710,-0.754745,0.862851,0.500000,3.700000
0,0,2.658679,0.287143,-1.553212,0.081615,0.500000,3.800000
1,1,2.935543,2.632686,-0.218679,-0.235879,0.500000,3.800000
2,2,0.130650,3.285691,0.236100,-0.815994,0.500000,3.800000
3,3,-1.789156,1.835187,0.748729,-0.878655,0.500000,3.800000
4,4,-4.239120,-0.260880,1.272398,0.044514,0.500000,3.800000
5,5,-2.287059,-1.998863,0.716594,0.963361,0.500000,3.800000
6,6,0.336386,-2.566559,0.326270,1.277196,0.500000,3.800000
